PLAYER_Team,PLAYER_GW,PLAYER_Fixture_date,PLAYER_Opponent,FIX_Home?,TEMP_team_goals,TEMP_opp_goals,TEMP_points_gained
Liverpool,1,2019-08-09,Norwich,1,4,1,3
Liverpool,2,2019-08-17,Southampton,0,2,1,3
Liverpool,3,2019-08-24,Arsenal,1,3,1,3
Liverpool,4,2019-08-31,Burnley,0,3,0,3
Liverpool,5,2019-09-14,Newcastle,1,3,1,3
Liverpool,6,2019-09-22,Chelsea,0,2,1,3
Liverpool,7,2019-09-28,Sheffield Utd,0,1,0,3
Liverpool,8,2019-10-05,Leicester,1,2,1,3
Liverpool,9,2019-10-20,Man Utd,0,1,1,1
Liverpool,10,2019-10-27,Spurs,1,2,1,3
Liverpool,11,2019-11-02,Aston Villa,0,2,1,3
Liverpool,12,2019-11-10,Man City,1,3,1,3
Liverpool,13,2019-11-23,Crystal Palace,0,2,1,3
Liverpool,14,2019-11-30,Brighton,1,2,1,3
Liverpool,15,2019-12-04,Everton,1,5,2,3
Liverpool,16,2019-12-07,Bournemouth,0,3,0,3
Liverpool,17,2019-12-14,Watford,1,2,0,3
Liverpool,18,2019-12-26,Leicester,0,4,0,3
Liverpool,19,2019-12-29,Wolves,1,1,0,3
Liverpool,20,2020-01-02,Sheffield Utd,1,2,0,3
Liverpool,21,2020-01-11,Spurs,0,1,0,3
Liverpool,22,2020-01-19,Man Utd,1,2,0,3
Liverpool,23,2020-01-23,Wolves,0,2,1,3
Liverpool,24,2020-01-29,West Ham,0,2,0,3
Liverpool,25,2020-02-01,Southampton,1,4,0,3
Liverpool,26,2020-02-15,Norwich,0,1,0,3
Liverpool,27,2020-02-24,West Ham,1,3,2,3
Liverpool,28,2020-02-29,Watford,0,0,3,0
Liverpool,29,2020-03-07,Bournemouth,1,2,1,3
Liverpool,30,2020-06-21,Everton,0,,,
Liverpool,31,2020-06-24,Crystal Palace,1,,,
Liverpool,32,2020-07-02,Man City,0,,,
Liverpool,33,2020-07-04,Aston Villa,1,,,
Liverpool,34,2020-07-08,Brighton,0,,,
Liverpool,35,2020-07-11,Burnley,1,,,
Liverpool,36,2020-07-15,Arsenal,0,,,
Liverpool,37,2020-07-18,Chelsea,1,,,
Liverpool,38,2020-07-26,Newcastle,0,,,
West Ham,1,2019-08-10,Man City,1,0,5,0
West Ham,2,2019-08-17,Brighton,0,1,1,1
West Ham,3,2019-08-24,Watford,0,3,1,3
West Ham,4,2019-08-31,Norwich,1,2,0,3
West Ham,5,2019-09-16,Aston Villa,0,0,0,1
West Ham,6,2019-09-22,Man Utd,1,2,0,3
West Ham,7,2019-09-28,Bournemouth,0,2,2,1
West Ham,8,2019-10-05,Crystal Palace,1,1,2,1
West Ham,9,2019-10-19,Everton,0,0,2,0
West Ham,10,2019-10-26,Sheffield Utd,1,1,1,1
West Ham,11,2019-11-02,Newcastle,1,2,3,2
West Ham,12,2019-11-09,Burnley,0,0,3,0
West Ham,13,2019-11-23,Spurs,1,2,3,2
West Ham,14,2019-11-30,Chelsea,0,1,0,3
West Ham,15,2019-12-04,Wolves,0,0,2,0
West Ham,16,2019-12-09,Arsenal,1,1,3,1
West Ham,17,2019-12-14,Southampton,0,1,0,3
West Ham,18,2019-12-26,Crystal Palace,0,1,2,1
West Ham,19,2019-12-28,Leicester,1,1,2,1
West Ham,20,2020-01-01,Bournemouth,1,4,0,3
West Ham,21,2020-01-10,Sheffield Utd,0,0,1,0
West Ham,22,2020-01-18,Everton,1,1,1,1
West Ham,23,2020-01-22,Leicester,0,1,4,1
West Ham,24,2020-01-29,Liverpool,1,0,2,0
West Ham,25,2020-02-01,Brighton,1,3,3,1
West Ham,26,2020-02-19,Man City,0,0,2,0
West Ham,27,2020-02-24,Liverpool,0,2,3,2
West Ham,28,2020-02-29,Southampton,1,3,1,3
West Ham,29,2020-03-07,Arsenal,0,0,1,0
West Ham,30,2020-06-20,Wolves,1,,,
West Ham,31,2020-06-23,Spurs,0,,,
West Ham,32,2020-07-01,Chelsea,1,,,
West Ham,33,2020-07-04,Newcastle,0,,,
West Ham,34,2020-07-08,Burnley,1,,,
West Ham,35,2020-07-11,Norwich,0,,,
West Ham,36,2020-07-15,Watford,1,,,
West Ham,37,2020-07-18,Man Utd,0,,,
West Ham,38,2020-07-26,Aston Villa,1,,,
Bournemouth,1,2019-08-10,Sheffield Utd,1,1,1,1
Bournemouth,2,2019-08-17,Aston Villa,0,2,1,3
Bournemouth,3,2019-08-25,Man City,1,1,3,1
Bournemouth,4,2019-08-31,Leicester,0,1,3,1
Bournemouth,5,2019-09-15,Everton,1,3,1,3
Bournemouth,6,2019-09-20,Southampton,0,3,1,3
Bournemouth,7,2019-09-28,West Ham,1,2,2,1
Bournemouth,8,2019-10-06,Arsenal,0,0,1,0
Bournemouth,9,2019-10-19,Norwich,1,0,0,1
Bournemouth,10,2019-10-26,Watford,0,0,0,1
Bournemouth,11,2019-11-02,Man Utd,1,1,0,3
Bournemouth,12,2019-11-09,Newcastle,0,1,2,1
Bournemouth,13,2019-11-23,Wolves,1,1,2,1
Bournemouth,14,2019-11-30,Spurs,0,2,3,2
Bournemouth,15,2019-12-03,Crystal Palace,0,0,1,0
Bournemouth,16,2019-12-07,Liverpool,1,0,3,0
Bournemouth,17,2019-12-14,Chelsea,0,1,0,3
Bournemouth,18,2019-12-21,Burnley,1,0,1,0
Bournemouth,19,2019-12-26,Arsenal,1,1,1,1
Bournemouth,20,2019-12-28,Brighton,0,0,2,0
